"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, FORAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, FORAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON  -  <b>VALUE</b>","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON  -  <b>CV (%)</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>VALUE</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>CV (%)</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
"SURVEY","1981","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","45,000","","","","33,000","","","","7,673,000","","2,475,000","","75","","9,000","","","","126,000","","14",""
"SURVEY","1981","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","775,000","","","","680,000","","","","187,272,000","","69,360,000","","102","","91,000","","","","1,456,000","","16",""
"SURVEY","1981","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,200,000","","","","2,800,000","","","","642,432,000","","268,800,000","","96","","370,000","","","","5,180,000","","14",""
"SURVEY","1981","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,700,000","","","","6,770,000","","","","1,735,151,000","","744,700,000","","110","","810,000","","","","10,935,000","","13.5",""
"SURVEY","1981","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","180,000","","","","115,000","","","","20,608,000","","6,440,000","","56","","56,000","","","","756,000","","13.5",""
"SURVEY","1981","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,100,000","","","","1,940,000","","","","514,798,000","","207,580,000","","107","","111,000","","","","1,554,000","","14",""
"SURVEY","1981","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","86,000","","","","10,000","","","","2,788,000","","850,000","","85","","71,000","","","","1,207,000","","17",""
"SURVEY","1981","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,400,000","","","","6,880,000","","","","1,985,912,000","","791,200,000","","115","","465,000","","","","7,440,000","","16",""
"SURVEY","1981","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","170,000","","","","130,000","","","","33,591,000","","12,870,000","","99","","37,000","","","","555,000","","15",""
"SURVEY","1981","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","85,000","","","","65,000","","","","23,629,000","","8,320,000","","128","","18,000","","","","414,000","","23",""
"SURVEY","1981","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,460,000","","","","830,000","","","","206,869,000","","77,190,000","","93","","600,000","","","","8,700,000","","14.5",""
"SURVEY","1981","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,000,000","","","","1,830,000","","","","377,639,000","","140,910,000","","77","","145,000","","","","2,103,000","","14.5",""
"SURVEY","1981","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","900,000","","14,000","","513,000","","","","99,312,000","","41,553,000","","81","","366,000","","","","2,672,000","","7.3",""
"SURVEY","1981","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,100,000","","","","3,750,000","","","","892,800,000","","360,000,000","","96","","285,000","","","","3,990,000","","14",""
"SURVEY","1981","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","100,000","","","","50,000","","","","13,455,000","","4,500,000","","90","","40,000","","","","640,000","","16",""
"SURVEY","1981","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","53,000","","","","22,000","","","","9,059,000","","2,970,000","","135","","29,000","","","","667,000","","23",""
"SURVEY","1981","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,870,000","","","","1,400,000","","","","360,192,000","","134,400,000","","96","","455,000","","","","7,371,000","","16.2",""
"SURVEY","1981","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","645,000","","","","570,000","","","","85,956,000","","33,060,000","","58","","42,000","","","","525,000","","12.5",""
"SURVEY","1981","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,400,000","","","","2,580,000","","","","415,380,000","","180,600,000","","70","","745,000","","","","4,619,000","","6.2",""
"SURVEY","1981","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","770,000","","","","640,000","","","","145,152,000","","53,760,000","","84","","118,000","","","","1,947,000","","16.5",""
"SURVEY","1981","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,150,000","","","","1,090,000","","","","367,286,000","","127,530,000","","117","","36,000","","","","612,000","","17",""
"SURVEY","1981","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","90,000","","","","15,000","","","","5,561,000","","1,650,000","","110","","70,000","","","","1,365,000","","19.5",""
"SURVEY","1981","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","820,000","","","","625,000","","","","151,875,000","","56,250,000","","90","","190,000","","","","2,850,000","","15",""
"SURVEY","1981","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","163,000","","","","114,000","","","","45,201,000","","14,820,000","","130","","49,000","","","","1,029,000","","21",""
"SURVEY","1981","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","125,000","","","","84,000","","","","20,402,000","","7,728,000","","92","","39,000","","","","605,000","","15.5",""
"SURVEY","1981","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,520,000","","","","3,500,000","","","","903,420,000","","378,000,000","","108","","944,000","","","","12,744,000","","13.5",""
"SURVEY","1981","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","88,000","","","","46,000","","","","12,701,000","","5,060,000","","110","","40,000","","","","680,000","","17",""
"SURVEY","1980","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.6","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.9","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.48","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.05","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.05","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.68","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.4","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.45","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.35","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.14","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.16","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.97","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.32","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.35","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.5","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.66","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.05","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.85","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.3","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.26","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.6","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.04","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.59","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.6","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.43","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.38","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.87","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.13","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.55","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.8","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.62","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.12","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.84","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.49","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.44","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","UTAH","49","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.75","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.48","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.84","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.3","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.96","","","","","","","","","","","","","","",""
"SURVEY","1980","MARKETING YEAR","","STATE","WYOMING","56","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.1","","","","","","","","","","","","","","",""
"SURVEY","1980","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","540,000","","","","423,000","","","","54,821,000","","15,228,000","","36","","46,000","","","","345,000","","7.5",""
"SURVEY","1980","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","50,000","","","","35,000","","","","13,650,000","","3,500,000","","100","","14,000","","","","294,000","","21",""
"SURVEY","1980","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","60,000","","","","37,000","","","","3,605,000","","1,036,000","","28","","9,000","","","","72,000","","8",""
"SURVEY","1980","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","450,000","","","","270,000","","","","147,623,000","","36,450,000","","135","","178,000","","","","3,738,000","","21",""
"SURVEY","1980","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","970,000","","","","760,000","","","","273,524,000","","89,680,000","","118","","193,000","","","","3,571,000","","18.5",""
"SURVEY","1980","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","190,000","","","","177,000","","","","46,898,000","","12,744,000","","72","","10,000","","","","138,000","","13.8",""
"SURVEY","1980","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","407,000","","","","328,000","","","","54,645,000","","16,072,000","","49","","25,000","","","","325,000","","13",""
"SURVEY","1980","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,600,000","","","","1,300,000","","","","188,370,000","","54,600,000","","42","","88,000","","","","880,000","","10",""
"SURVEY","1980","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","146,000","","","","50,000","","","","17,588,000","","5,250,000","","105","","93,000","","","","1,721,000","","18.5",""
"SURVEY","1980","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,700,000","","","","11,440,000","","","","3,340,709,000","","1,063,920,000","","93","","230,000","","","","3,220,000","","14",""
"SURVEY","1980","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","6,450,000","","","","6,280,000","","","","1,905,101,000","","602,880,000","","96","","130,000","","","","1,885,000","","14.5",""
"SURVEY","1980","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","14,000,000","","","","13,300,000","","","","4,345,110,000","","1,463,000,000","","110","","640,000","","","","9,472,000","","14.8",""
"SURVEY","1980","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,700,000","","","","1,180,000","","","","368,254,000","","110,920,000","","94","","404,000","","","","3,636,000","","9",""
"SURVEY","1980","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,650,000","","","","1,480,000","","","","347,060,000","","103,600,000","","70","","152,000","","","","1,976,000","","13",""
"SURVEY","1980","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","50,000","","","","30,000","","","","4,830,000","","1,380,000","","46","","12,000","","","","120,000","","10",""
"SURVEY","1980","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","750,000","","","","640,000","","","","168,653,000","","46,080,000","","72","","104,000","","","","1,435,000","","13.8",""
"SURVEY","1980","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,950,000","","","","2,560,000","","","","741,760,000","","243,200,000","","95","","365,000","","","","5,110,000","","14",""
"SURVEY","1980","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,250,000","","","","6,290,000","","","","1,738,871,000","","610,130,000","","97","","880,000","","","","10,560,000","","12",""
"SURVEY","1980","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","170,000","","","","88,000","","","","8,131,000","","2,464,000","","28","","62,000","","","","620,000","","10",""
"SURVEY","1980","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,600,000","","","","2,070,000","","","","357,655,000","","109,710,000","","53","","316,000","","","","2,370,000","","7.5",""
"SURVEY","1980","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","85,000","","","","8,000","","","","2,131,000","","592,000","","74","","70,000","","","","1,225,000","","17.5",""
"SURVEY","1980","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,800,000","","","","7,100,000","","","","1,834,640,000","","603,500,000","","85","","595,000","","","","6,843,000","","11.5",""
"SURVEY","1980","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","158,000","","","","118,000","","","","31,772,000","","8,850,000","","75","","36,000","","","","486,000","","13.5",""
"SURVEY","1980","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","105,000","","","","75,000","","","","24,300,000","","6,750,000","","90","","26,000","","","","364,000","","14",""
"SURVEY","1980","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,350,000","","","","730,000","","","","232,863,000","","67,890,000","","93","","600,000","","","","8,700,000","","14.5",""
"SURVEY","1980","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,900,000","","","","1,730,000","","","","350,844,000","","103,800,000","","60","","140,000","","","","1,610,000","","11.5",""
"SURVEY","1980","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","700,000","","39,000","","290,000","","","","48,273,000","","16,820,000","","58","","326,000","","","","1,402,000","","4.3",""
"SURVEY","1980","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,150,000","","","","3,900,000","","","","1,379,391,000","","440,700,000","","113","","215,000","","","","3,118,000","","14.5",""
"SURVEY","1980","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","125,000","","","","75,000","","","","18,638,000","","5,250,000","","70","","36,000","","","","468,000","","13",""
"SURVEY","1980","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","47,000","","","","13,000","","","","5,434,000","","1,430,000","","110","","31,000","","","","651,000","","21",""
"SURVEY","1980","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,800,000","","","","1,280,000","","","","347,520,000","","96,000,000","","75","","498,000","","","","6,275,000","","12.6",""
"SURVEY","1980","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","585,000","","","","515,000","","","","77,126,000","","24,720,000","","48","","41,000","","","","431,000","","10.5",""
"SURVEY","1980","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,480,000","","","","2,300,000","","","","346,196,000","","121,900,000","","53","","1,010,000","","","","5,353,000","","5.3",""
"SURVEY","1980","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","810,000","","","","640,000","","","","102,746,000","","29,440,000","","46","","150,000","","","","1,725,000","","11.5",""
"SURVEY","1980","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,500,000","","","","1,300,000","","","","402,480,000","","117,000,000","","90","","105,000","","","","1,680,000","","16",""
"SURVEY","1980","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","100,000","","","","15,000","","","","5,625,000","","1,500,000","","100","","79,000","","","","1,501,000","","19",""
"SURVEY","1980","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","830,000","","","","595,000","","","","113,883,000","","32,725,000","","55","","220,000","","","","2,530,000","","11.5",""
"SURVEY","1980","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","145,000","","","","88,000","","","","42,240,000","","11,000,000","","125","","57,000","","","","1,197,000","","21",""
"SURVEY","1980","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","108,000","","","","64,000","","","","18,797,000","","5,696,000","","89","","41,000","","","","636,000","","15.5",""
"SURVEY","1980","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,200,000","","","","3,350,000","","","","1,031,264,000","","348,400,000","","104","","775,000","","","","9,455,000","","12.2",""
"SURVEY","1980","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","87,000","","","","37,000","","","","11,126,000","","3,589,000","","97","","45,000","","","","720,000","","16",""
"SURVEY","1979","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.95","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.14","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.7","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.26","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.53","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.9","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.85","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.86","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.9","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.57","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.55","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.42","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.51","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.72","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.8","","","","","","","","","","","","","","",""
"SURVEY","1979","MARKETING YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","2.84","","","","","","","","","","","","","","",""
